No,Product Type,Keywords,Primary (Hex),Secondary (Hex),CTA (Hex),Background (Hex),Text (Hex),Border (Hex),Notes,Tailwind_Config,Glow_Effects,Dark_Mode_Colors,Semantic_Mapping,Data_Viz_Palette,Semantic_Tokens
50,Marketplace (P2P),"marketplace, p2p, secondhand, etsy, ebay, depop, vinted, resale",#007782,#356639,#FF2300,#EDF2F2,#1A1A1A,#D1D5DB,2026 P2P Marketplace: Vinted Blue Lagoon #007782 for trust + Killarney Green #356639 for sustainability/verified + Depop Red #FF2300 for energetic CTA + Porcelain neutral bg for clean listings,"{ primary: '#007782', secondary: '#356639', cta: '#FF2300', background: '#EDF2F2', foreground: '#1A1A1A' }","box-shadow: 0 0 20px rgba(255,35,0,0.4); text-shadow: 0 0 10px rgba(0,119,130,0.5);","{ background: '#1A1A1A', text: '#F5F5F5', primary: '#00969E', secondary: '#4A9A6A', cta: '#FF4D33', border: '#2D2D2D' }","{""background"":""#EDF2F2"",""foreground"":""#1A1A1A"",""primary"":""#007782"",""primary-foreground"":""#FFFFFF"",""secondary"":""#356639"",""secondary-foreground"":""#FFFFFF"",""muted"":""#6B7280"",""accent"":""#FF2300"",""destructive"":""#EF4444""}","[""#00969E"",""#007782"",""#005A62"",""#356639"",""#2A5030"",""#FF2300"",""#CC1C00""]","{""background"":""#EDF2F2"",""foreground"":""#1A1A1A"",""card"":""#FFFFFF"",""card-foreground"":""#1A1A1A"",""popover"":""#FFFFFF"",""popover-foreground"":""#1A1A1A"",""primary"":""#007782"",""primary-foreground"":""#FFFFFF"",""secondary"":""#356639"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F3F4F6"",""muted-foreground"":""#6B7280"",""accent"":""#FF2300"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#D1D5DB"",""input"":""#E5E7EB"",""ring"":""#007782""}"
51,Logistics/Supply Chain,"logistics, delivery, supply chain, tracking, fedex, dhl, ups, warehouse, fleet",#4682B4,#28A745,#FF6F20,#F5F5F5,#333333,#E5E5E5,2026 Logistics: Steel Blue #4682B4 for trust/tracking + Emerald Green #28A745 for delivered/on-track status + Sunset Orange #FF6F20 for in-transit/warnings CTA + carrier-inspired industrial aesthetic,"{ primary: '#4682B4', secondary: '#28A745', cta: '#FF6F20', background: '#F5F5F5', foreground: '#333333' }","box-shadow: 0 0 20px rgba(255,111,32,0.4); text-shadow: 0 0 10px rgba(40,167,69,0.5);","{ background: '#1A1A2E', text: '#F5F5F5', primary: '#5A9FD4', secondary: '#34D058', cta: '#FF8C42', border: '#2D2D44' }","{""background"":""#F5F5F5"",""foreground"":""#333333"",""primary"":""#4682B4"",""primary-foreground"":""#FFFFFF"",""secondary"":""#28A745"",""secondary-foreground"":""#FFFFFF"",""muted"":""#6B7280"",""accent"":""#FF6F20"",""destructive"":""#EF4444""}","[""#5A9FD4"",""#4682B4"",""#366794"",""#28A745"",""#1E7B34"",""#FF6F20"",""#E85A10""]","{""background"":""#F5F5F5"",""foreground"":""#333333"",""card"":""#FFFFFF"",""card-foreground"":""#333333"",""popover"":""#FFFFFF"",""popover-foreground"":""#333333"",""primary"":""#4682B4"",""primary-foreground"":""#FFFFFF"",""secondary"":""#28A745"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F3F4F6"",""muted-foreground"":""#6B7280"",""accent"":""#FF6F20"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E5E5E5"",""input"":""#E5E5E5"",""ring"":""#4682B4""}"
52,Agriculture/Agritech,"agriculture, agritech, farm, precision farming, crop health, ndvi, soil sensor, iot, smart farming, weather",#228B22,#8B4513,#FF8C00,#F5F5F0,#2D3B2D,#D4C4A8,2026 Precision Agriculture: Forest green #228B22 (NDVI healthy vegetation/crop status) + Soil brown #8B4513 (earth tones/soil sensor data) + Amber alert CTA #FF8C00 (weather warnings/low moisture alerts) + Natural cream BG #F5F5F0 + NDVI gradient (red→yellow→green for stressed→moderate→healthy) + IoT teal #4682B4 for irrigation metrics + Modern farm dashboard aesthetic,"{ primary: '#228B22', secondary: '#8B4513', cta: '#FF8C00', background: '#F5F5F0', foreground: '#2D3B2D' }","box-shadow: 0 0 20px rgba(255,140,0,0.4); text-shadow: 0 0 10px rgba(34,139,34,0.5);","{ background: '#1A1F1A', text: '#F5F5F0', primary: '#32CD32', secondary: '#A0522D', cta: '#FFA500', border: '#3D4A3D' }","{""background"":""#F5F5F0"",""foreground"":""#2D3B2D"",""primary"":""#228B22"",""primary-foreground"":""#FFFFFF"",""secondary"":""#8B4513"",""secondary-foreground"":""#FFFFFF"",""muted"":""#6B7B6B"",""accent"":""#FF8C00"",""destructive"":""#DC2626"",""success"":""#32CD32"",""warning"":""#FFD700"",""info"":""#4682B4""}","[""#DC2626"",""#F59E0B"",""#FBBF24"",""#84CC16"",""#32CD32"",""#228B22"",""#166534""]","{""background"":""#F5F5F0"",""foreground"":""#2D3B2D"",""card"":""#FFFFFF"",""card-foreground"":""#2D3B2D"",""popover"":""#FAFAF5"",""popover-foreground"":""#2D3B2D"",""primary"":""#228B22"",""primary-foreground"":""#FFFFFF"",""secondary"":""#8B4513"",""secondary-foreground"":""#FFFFFF"",""muted"":""#E8E4D9"",""muted-foreground"":""#6B7B6B"",""accent"":""#FF8C00"",""accent-foreground"":""#000000"",""destructive"":""#DC2626"",""destructive-foreground"":""#FFFFFF"",""success"":""#32CD32"",""success-foreground"":""#000000"",""warning"":""#FFD700"",""warning-foreground"":""#000000"",""info"":""#4682B4"",""info-foreground"":""#FFFFFF"",""border"":""#D4C4A8"",""input"":""#E8E4D9"",""ring"":""#228B22""}"
53,Construction/Contractor,"construction, contractor, procore, project management, blueprint, safety, cad, hardhat, jobsite, building",#1E3A8A,#10B981,#F97316,#F5F5F5,#111827,#4B5563,2026 Construction PM: Blueprint blue #1E3A8A (CAD/technical drawings trust) + Safe green #10B981 (OSHA approved/completed milestones) + Warning orange CTA #F97316 (safety alerts/overdue tasks) + Industrial neutral BG #F5F5F5 + Project status indicators (green=complete yellow=#FACC15 caution orange=#F97316 warning red=#DC2626 danger) + Steel gray borders (industrial metal) + Procore-inspired modern construction software aesthetic,"{ primary: '#1E3A8A', secondary: '#10B981', cta: '#F97316', background: '#F5F5F5', foreground: '#111827' }","box-shadow: 0 0 20px rgba(249,115,22,0.5); text-shadow: 0 0 12px rgba(30,58,138,0.4);","{ background: '#111827', text: '#F8FAFC', primary: '#2563EB', secondary: '#10B981', cta: '#F97316', border: '#1E293B' }","{""background"":""#F5F5F5"",""foreground"":""#111827"",""primary"":""#1E3A8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#10B981"",""secondary-foreground"":""#FFFFFF"",""muted"":""#4B5563"",""accent"":""#F97316"",""destructive"":""#DC2626"",""success"":""#10B981"",""warning"":""#FACC15"",""info"":""#0D9488""}","[""#DC2626"",""#F97316"",""#FACC15"",""#10B981"",""#1E3A8A"",""#2563EB"",""#4B5563""]","{""background"":""#F5F5F5"",""foreground"":""#111827"",""card"":""#FFFFFF"",""card-foreground"":""#111827"",""popover"":""#FFFFFF"",""popover-foreground"":""#111827"",""primary"":""#1E3A8A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#10B981"",""secondary-foreground"":""#FFFFFF"",""muted"":""#E5E7EB"",""muted-foreground"":""#4B5563"",""accent"":""#F97316"",""accent-foreground"":""#FFFFFF"",""destructive"":""#DC2626"",""destructive-foreground"":""#FFFFFF"",""success"":""#10B981"",""success-foreground"":""#FFFFFF"",""warning"":""#FACC15"",""warning-foreground"":""#000000"",""info"":""#0D9488"",""info-foreground"":""#FFFFFF"",""border"":""#4B5563"",""input"":""#E5E7EB"",""ring"":""#1E3A8A""}"
54,Automotive/Car Dealership,"automotive, car, dealership, bmw, audi, mercedes, luxury, premium, showroom, vehicle, inventory",#0A1628,#6B7B8A,#D4AF37,#FAFAFA,#0F172A,#C0C0C0,2026 Premium Automotive Dealer: Deep showroom black #0A1628 (BMW/Audi sleek minimalism) + Metallic silver #6B7B8A (anodized industrial premium) + Gold CTA #D4AF37 (Mercedes heritage luxury/urgency promotions) + Clean white BG #FAFAFA (vehicle showcase clarity) + Trust navy text #0F172A + Chrome borders #C0C0C0 + Showroom aesthetics with metallic reflections + Vehicle status (available=gold reserved=#FF6B00 sold=#DC2626) + High-contrast for fast load times,"{ primary: '#0A1628', secondary: '#6B7B8A', cta: '#D4AF37', background: '#FAFAFA', foreground: '#0F172A' }","box-shadow: 0 0 25px rgba(212,175,55,0.45); text-shadow: 0 0 12px rgba(107,123,138,0.5);","{ background: '#0A1628', text: '#F8FAFC', primary: '#1E3A5F', secondary: '#8B9BAA', cta: '#E5C158', border: '#2A3F5F' }","{""background"":""#FAFAFA"",""foreground"":""#0F172A"",""primary"":""#0A1628"",""primary-foreground"":""#FFFFFF"",""secondary"":""#6B7B8A"",""secondary-foreground"":""#FFFFFF"",""muted"":""#94A3B8"",""accent"":""#D4AF37"",""destructive"":""#DC2626"",""success"":""#10B981"",""warning"":""#FF6B00"",""info"":""#1E3A5F""}","[""#D4AF37"",""#E5C158"",""#0A1628"",""#1E3A5F"",""#6B7B8A"",""#8B9BAA"",""#C0C0C0""]","{""background"":""#FAFAFA"",""foreground"":""#0F172A"",""card"":""#FFFFFF"",""card-foreground"":""#0F172A"",""popover"":""#FFFFFF"",""popover-foreground"":""#0F172A"",""primary"":""#0A1628"",""primary-foreground"":""#FFFFFF"",""secondary"":""#6B7B8A"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F1F5F9"",""muted-foreground"":""#64748B"",""accent"":""#D4AF37"",""accent-foreground"":""#000000"",""destructive"":""#DC2626"",""destructive-foreground"":""#FFFFFF"",""success"":""#10B981"",""success-foreground"":""#FFFFFF"",""warning"":""#FF6B00"",""warning-foreground"":""#FFFFFF"",""info"":""#1E3A5F"",""info-foreground"":""#FFFFFF"",""border"":""#C0C0C0"",""input"":""#E2E8F0"",""ring"":""#D4AF37""}"
55,Photography/Portfolio,"photography, portfolio, gallery, photographer, minimal, image showcase, visual artist, creative portfolio",#1A1A1A,#8B8B8B,#B8A9A0,#FAF9F6,#1A1A1A,#EDEDED,2026 Photography Portfolio: Gallery-neutral near-black #1A1A1A (professional minimal) + Soft gray #8B8B8B (subtle chrome accents) + Warm taupe CTA #B8A9A0 (muted earth-tone contact buttons) + Off-white BG #FAF9F6 (image-focused showcase) + Monochromatic base reduces visual noise + Full-bleed hero images + Grid layouts with 40-60px padding + Mobile-first vertical galleries + WCAG 4.5:1 contrast compliant,"{ primary: '#1A1A1A', secondary: '#8B8B8B', cta: '#B8A9A0', background: '#FAF9F6', foreground: '#1A1A1A' }","box-shadow: 0 0 15px rgba(184,169,160,0.25); text-shadow: none;","{ background: '#0A0A0A', text: '#F5F5F5', primary: '#2A2A2A', secondary: '#9B9B9B', cta: '#C8B9B0', border: '#1F1F1F' }","{""background"":""#FAF9F6"",""foreground"":""#1A1A1A"",""primary"":""#1A1A1A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#8B8B8B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#D9C2A6"",""accent"":""#B8A9A0"",""destructive"":""#E57373""}","[""#F5F5F5"",""#EDEDED"",""#D4D4D4"",""#8B8B8B"",""#5A5A5A"",""#2A2A2A"",""#1A1A1A""]","{""background"":""#FAF9F6"",""foreground"":""#1A1A1A"",""card"":""#FFFFFF"",""card-foreground"":""#1A1A1A"",""popover"":""#FFFFFF"",""popover-foreground"":""#1A1A1A"",""primary"":""#1A1A1A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#8B8B8B"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F5F5F5"",""muted-foreground"":""#6B6B6B"",""accent"":""#B8A9A0"",""accent-foreground"":""#1A1A1A"",""destructive"":""#E57373"",""destructive-foreground"":""#FFFFFF"",""border"":""#EDEDED"",""input"":""#EDEDED"",""ring"":""#1A1A1A""}"
56,Coworking Space,"coworking, space, wework, industrious, regus, shared office, flexible workspace, hot desk, community hub, hybrid work",#16123F,#A3BCB6,#F2D53C,#FCEED1,#16123F,#C7DDCC,2026 Coworking: Navy trust #16123F (WeWork/Industrious professional corporate) + Biophilic moss #A3BCB6 (nature-inspired calm/community) + Energetic yellow CTA #F2D53C (creative spark/Book Space actions) + Warm taupe BG #FCEED1 (modern loft warmth) + Mint accents #75C9B7 (collaboration zones) + Status indicators (available=#A3BCB6 booked=#F2D53C occupied=#E57373) + Hybrid work aesthetic + Pantone Mocha Mousse influence + WCAG accessible,"{ primary: '#16123F', secondary: '#A3BCB6', cta: '#F2D53C', background: '#FCEED1', foreground: '#16123F' }","box-shadow: 0 0 20px rgba(242,213,60,0.4); text-shadow: 0 0 10px rgba(163,188,182,0.5);","{ background: '#16123F', text: '#FCEED1', primary: '#1E1A4A', secondary: '#B8CCC6', cta: '#F5E066', border: '#2A2660' }","{""background"":""#FCEED1"",""foreground"":""#16123F"",""primary"":""#16123F"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A3BCB6"",""secondary-foreground"":""#16123F"",""muted"":""#C7DDCC"",""accent"":""#F2D53C"",""destructive"":""#E57373"",""success"":""#A3BCB6"",""warning"":""#F2D53C"",""info"":""#75C9B7""}","[""#16123F"",""#2A2660"",""#A3BCB6"",""#75C9B7"",""#C7DDCC"",""#F2D53C"",""#FCEED1""]","{""background"":""#FCEED1"",""foreground"":""#16123F"",""card"":""#FFFFFF"",""card-foreground"":""#16123F"",""popover"":""#FFFFFF"",""popover-foreground"":""#16123F"",""primary"":""#16123F"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A3BCB6"",""secondary-foreground"":""#16123F"",""muted"":""#E8E4D9"",""muted-foreground"":""#5C5A6B"",""accent"":""#F2D53C"",""accent-foreground"":""#16123F"",""destructive"":""#E57373"",""destructive-foreground"":""#FFFFFF"",""success"":""#A3BCB6"",""success-foreground"":""#16123F"",""warning"":""#F2D53C"",""warning-foreground"":""#16123F"",""info"":""#75C9B7"",""info-foreground"":""#16123F"",""border"":""#C7DDCC"",""input"":""#E8E4D9"",""ring"":""#16123F""}"
57,Cleaning Service,"cleaning, service, housekeeping, maid, janitorial, eco-friendly, home clean, residential, commercial",#75C9B7,#7EBC59,#ABD699,#F3F3F3,#16123F,#DCE1E3,2026 Fresh Clean: Teal #75C9B7 (cleanliness/reliability) + Eco mint #7EBC59 (green cleaning/sustainability) + Soft lime CTA #ABD699 (fresh action) + Crisp white BG #F3F3F3 (spotless) + Trust navy text #16123F + Before/After contrast + WCAG accessible,"{ primary: '#75C9B7', secondary: '#7EBC59', cta: '#ABD699', background: '#F3F3F3', foreground: '#16123F' }","box-shadow: 0 0 20px rgba(171,214,153,0.4); text-shadow: 0 0 10px rgba(126,188,89,0.5);","{ background: '#0F1A17', text: '#F3F3F3', primary: '#75C9B7', secondary: '#7EBC59', cta: '#ABD699', border: '#1E3A32' }","{""background"":""#F3F3F3"",""foreground"":""#16123F"",""primary"":""#75C9B7"",""primary-foreground"":""#16123F"",""secondary"":""#7EBC59"",""secondary-foreground"":""#FFFFFF"",""muted"":""#C7DDCC"",""accent"":""#ABD699"",""destructive"":""#E57373""}","[""#A8E0D3"",""#75C9B7"",""#5DB4A1"",""#7EBC59"",""#6AA84F"",""#ABD699"",""#C7DDCC""]","{""background"":""#F3F3F3"",""foreground"":""#16123F"",""card"":""#FFFFFF"",""card-foreground"":""#16123F"",""popover"":""#FFFFFF"",""popover-foreground"":""#16123F"",""primary"":""#75C9B7"",""primary-foreground"":""#16123F"",""secondary"":""#7EBC59"",""secondary-foreground"":""#FFFFFF"",""muted"":""#E8F5E9"",""muted-foreground"":""#5C5F58"",""accent"":""#ABD699"",""accent-foreground"":""#16123F"",""destructive"":""#E57373"",""destructive-foreground"":""#FFFFFF"",""border"":""#DCE1E3"",""input"":""#DCE1E3"",""ring"":""#75C9B7""}"
58,Home Services (Plumber/Electrician),"home, services, plumber, electrician",#0F172A,#334155,#0369A1,#F8FAFC,#020617,#E2E8F0,Trust Blue + Safety Orange + Professional grey,"{ primary: '#0F172A', secondary: '#334155', cta: '#0369A1', background: '#F8FAFC', foreground: '#020617' }","box-shadow: 0 0 20px rgba(3,105,161,0.4); text-shadow: 0 0 10px rgba(3,105,161,0.6);","{ background: '#0A0A0A', text: '#F8FAFC', primary: '#15203A', secondary: '#42546E', cta: '#037EC1', border: '#27272A' }","{""background"":""#F8FAFC"",""foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#0e2ba4"",""accent"":""#0369A1"",""destructive"":""#EF4444""}","[""#2a4075"",""#1c2c50"",""#0F172A"",""#020204"",""#000000"",""#334155"",""#202935""]","{""background"":""#F8FAFC"",""foreground"":""#020617"",""card"":""#FFFFFF"",""card-foreground"":""#020617"",""popover"":""#FFFFFF"",""popover-foreground"":""#020617"",""primary"":""#0F172A"",""primary-foreground"":""#FFFFFF"",""secondary"":""#334155"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F4F4F5"",""muted-foreground"":""#71717A"",""accent"":""#0369A1"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""border"":""#E2E8F0"",""input"":""#E2E8F0"",""ring"":""#0F172A""}"
59,Childcare/Daycare,"childcare, daycare, preschool, montessori, early childhood, nursery, kids center, toddler, playful, safe",#5BB4E5,#6DC9A8,#FF7F6B,#FFF8F0,#2A4A4E,#E8DFF5,2026 Childcare UI: Sky blue #5BB4E5 (trust + calming for children ages 3-7) + Montessori mint #6DC9A8 (nature/growth/focus) + Warm coral CTA #FF7F6B (playful engagement without overstimulation) + Soft cream BG #FFF8F0 (nursery warmth) + Lavender accents (soothing) + High-contrast primaries for young eyes + Parent-trust pastels + Safety certification green indicators,"{ primary: '#5BB4E5', secondary: '#6DC9A8', cta: '#FF7F6B', background: '#FFF8F0', foreground: '#2A4A4E' }","box-shadow: 0 0 20px rgba(255,127,107,0.35); text-shadow: 0 0 12px rgba(109,201,168,0.4);","{ background: '#1A2421', text: '#FFF8F0', primary: '#7BC4ED', secondary: '#8DD6BC', cta: '#FF9585', border: '#2A4A4E' }","{""background"":""#FFF8F0"",""foreground"":""#2A4A4E"",""primary"":""#5BB4E5"",""primary-foreground"":""#FFFFFF"",""secondary"":""#6DC9A8"",""secondary-foreground"":""#1A2421"",""muted"":""#E8DFF5"",""accent"":""#FF7F6B"",""destructive"":""#E57373"",""success"":""#6DC9A8"",""warning"":""#FBBF24""}","[""#FFD93D"",""#FF7F6B"",""#5BB4E5"",""#6DC9A8"",""#E8DFF5"",""#F8C8DC"",""#B7E4C7""]","{""background"":""#FFF8F0"",""foreground"":""#2A4A4E"",""card"":""#FFFFFF"",""card-foreground"":""#2A4A4E"",""popover"":""#FFFBF5"",""popover-foreground"":""#2A4A4E"",""primary"":""#5BB4E5"",""primary-foreground"":""#FFFFFF"",""secondary"":""#6DC9A8"",""secondary-foreground"":""#1A2421"",""muted"":""#F5F0E8"",""muted-foreground"":""#5C7A6E"",""accent"":""#FF7F6B"",""accent-foreground"":""#FFFFFF"",""destructive"":""#E57373"",""destructive-foreground"":""#FFFFFF"",""border"":""#E8DFF5"",""input"":""#E8DFF5"",""ring"":""#5BB4E5""}"
60,Senior Care/Assisted Living,"senior, care, elderly, assisted living, nursing home, retirement, accessible, wcag aaa, high contrast, warm",#2D4A3E,#A8C4B2,#D4A87A,#F5F5F0,#1A1A1A,#E8E3D8,2026 Senior Care WCAG AAA: Warm forest green #2D4A3E (trustworthy/nature calm) + Calming sage #A8C4B2 (8.1:1 contrast tranquility) + Warm terracotta CTA #D4A87A (7.2:1 gentle encouragement) + Soft cream BG #F5F5F0 (14.6:1 with text home-like warmth) + Near-black text #1A1A1A (maximum readability for low vision) + Large touch targets (min 44px) + Familiar earthy tones reduce cognitive load,"{ primary: '#2D4A3E', secondary: '#A8C4B2', cta: '#D4A87A', background: '#F5F5F0', foreground: '#1A1A1A' }","box-shadow: 0 0 16px rgba(212,168,122,0.3); text-shadow: none;","{ background: '#1A2421', text: '#F5F5F0', primary: '#3D5A4E', secondary: '#B8D4C2', cta: '#E4B88A', border: '#2D4A3E' }","{""background"":""#F5F5F0"",""foreground"":""#1A1A1A"",""primary"":""#2D4A3E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A8C4B2"",""secondary-foreground"":""#1A1A1A"",""muted"":""#E8E3D8"",""accent"":""#D4A87A"",""destructive"":""#C53030"",""success"":""#2D6A4F"",""warning"":""#B7791F""}","[""#F5F5F0"",""#E8E3D8"",""#D4A87A"",""#A8C4B2"",""#7BA393"",""#4D7A67"",""#2D4A3E""]","{""background"":""#F5F5F0"",""foreground"":""#1A1A1A"",""card"":""#FFFFFF"",""card-foreground"":""#1A1A1A"",""popover"":""#FEFEFE"",""popover-foreground"":""#1A1A1A"",""primary"":""#2D4A3E"",""primary-foreground"":""#FFFFFF"",""secondary"":""#A8C4B2"",""secondary-foreground"":""#1A1A1A"",""muted"":""#E8E3D8"",""muted-foreground"":""#4A4A4A"",""accent"":""#D4A87A"",""accent-foreground"":""#1A1A1A"",""destructive"":""#C53030"",""destructive-foreground"":""#FFFFFF"",""border"":""#E8E3D8"",""input"":""#FFFFFF"",""ring"":""#2D4A3E""}"
61,Medical Clinic,"medical, clinic, healthcare, telemedicine, patient portal",#0077B6,#2A9D8F,#22C55E,#F8F9FA,#0F172A,#E9ECEF,Trust Blue (#0077B6) + Healing Teal (#2A9D8F) + Clinical Green CTA - WCAG AAA elderly accessible,"{ primary: '#0077B6', secondary: '#2A9D8F', cta: '#22C55E', background: '#F8F9FA', foreground: '#0F172A' }","box-shadow: 0 0 20px rgba(0,119,182,0.25); text-shadow: none;","{ background: '#0A1628', text: '#F8F9FA', primary: '#0096D6', secondary: '#3DB8A9', cta: '#34D669', border: '#1E3A5F' }","{""background"":""#F8F9FA"",""foreground"":""#0F172A"",""primary"":""#0077B6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2A9D8F"",""secondary-foreground"":""#FFFFFF"",""muted"":""#6C757D"",""accent"":""#22C55E"",""destructive"":""#DC3545""}","[""#4db8d9"",""#1a97c5"",""#0077B6"",""#005a8a"",""#003d5e"",""#2A9D8F"",""#1f7a6f""]","{""background"":""#F8F9FA"",""foreground"":""#0F172A"",""card"":""#FFFFFF"",""card-foreground"":""#0F172A"",""popover"":""#FFFFFF"",""popover-foreground"":""#0F172A"",""primary"":""#0077B6"",""primary-foreground"":""#FFFFFF"",""secondary"":""#2A9D8F"",""secondary-foreground"":""#FFFFFF"",""muted"":""#E9ECEF"",""muted-foreground"":""#6C757D"",""accent"":""#22C55E"",""accent-foreground"":""#FFFFFF"",""destructive"":""#DC3545"",""destructive-foreground"":""#FFFFFF"",""border"":""#E9ECEF"",""input"":""#E9ECEF"",""ring"":""#0077B6""}"
62,Pharmacy/Drug Store,"pharmacy, drug, store, cvs, walgreens, prescription, rx, otc, healthcare, retail",#4A90E2,#50C878,#10B981,#FAFAFA,#164E63,#E8F4F1,2026 Pharmacy Retail: Trust blue #4A90E2 (CVS prescription reliability) + Mint green #50C878 (Walgreens health/safety) + Emerald CTA #10B981 (refill action) + Clean white BG #FAFAFA (modern retail calm) + Rx/OTC differentiation (Rx=#4A90E2 OTC=#50C878) + Safety states (verified=#10B981 warning=#F59E0B alert=#EF4444),"{ primary: '#4A90E2', secondary: '#50C878', cta: '#10B981', background: '#FAFAFA', foreground: '#164E63' }","box-shadow: 0 0 20px rgba(16,185,129,0.35); text-shadow: 0 0 10px rgba(80,200,120,0.4);","{ background: '#0F1A1A', text: '#F5F5F5', primary: '#5BA3F5', secondary: '#6AD98F', cta: '#34D399', border: '#1E3A3A' }","{""background"":""#FAFAFA"",""foreground"":""#164E63"",""primary"":""#4A90E2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#50C878"",""secondary-foreground"":""#FFFFFF"",""muted"":""#94A3B8"",""accent"":""#10B981"",""destructive"":""#EF4444"",""warning"":""#F59E0B""}","[""#7AB4F0"",""#5BA3F5"",""#4A90E2"",""#2D7DD2"",""#1E5BA8"",""#50C878"",""#3DB06A"",""#10B981""]","{""background"":""#FAFAFA"",""foreground"":""#164E63"",""card"":""#FFFFFF"",""card-foreground"":""#164E63"",""popover"":""#FFFFFF"",""popover-foreground"":""#164E63"",""primary"":""#4A90E2"",""primary-foreground"":""#FFFFFF"",""secondary"":""#50C878"",""secondary-foreground"":""#FFFFFF"",""muted"":""#F5F5F5"",""muted-foreground"":""#64748B"",""accent"":""#10B981"",""accent-foreground"":""#FFFFFF"",""destructive"":""#EF4444"",""destructive-foreground"":""#FFFFFF"",""warning"":""#F59E0B"",""warning-foreground"":""#000000"",""border"":""#E8F4F1"",""input"":""#E8F4F1"",""ring"":""#4A90E2""}"
